parameter_mapping,parameter_name,parameter_description,parameter_id,description
3941,34591,DN CD44+CD62L- NKT cells,IMPC_IMM_046_001,"DN CD44+CD62L- NKT cells NA, "
3942,34592,DN CD44+CD62L+ NKT cells,IMPC_IMM_047_001,"DN CD44+CD62L+ NKT cells NA, "
3943,34593,DN CD44-CD62L+ NKT cells,IMPC_IMM_048_001,"DN CD44-CD62L+ NKT cells NA, "
3944,34594,Percentage of live gated events in Panel B,IMPC_IMM_049_001,"Percentage of live gated events in Panel B NA, "
3945,34595,Neutrophils,IMPC_IMM_050_001,"Neutrophils NA, "
3946,34596,Monocytes,IMPC_IMM_051_001,"Monocytes NA, "
3947,34597,Eosinophils,IMPC_IMM_052_001,"Eosinophils NA, "
3948,34598,NK Cells (panel B),IMPC_IMM_053_001,"NK Cells (panel B) NA, "
3949,34599,NK Subsets (Q1),IMPC_IMM_054_001,"NK Subsets (Q1) NA, "
3950,34600,NK Subsets (Q2),IMPC_IMM_055_001,"NK Subsets (Q2) NA, "
3951,34601,NK Subsets (Q3),IMPC_IMM_056_001,"NK Subsets (Q3) NA, "
3952,34602,NK Subsets (Q4),IMPC_IMM_057_001,"NK Subsets (Q4) NA, "
3953,34603,NKT Cells (panel B),IMPC_IMM_058_001,"NKT Cells (panel B) NA, "
3954,34604,NKT Subsets (Q1),IMPC_IMM_059_001,"NKT Subsets (Q1) NA, "
3955,34605,NKT Subsets (Q3),IMPC_IMM_060_001,"NKT Subsets (Q3) NA, "
3956,34606,T Cells (panel B),IMPC_IMM_061_001,"T Cells (panel B) NA, "
3957,34607,T Subset,IMPC_IMM_062_001,"T Subset NA, "
3958,34608,B Cells,IMPC_IMM_063_001,"B Cells NA, "
3959,34609,B1B Cells,IMPC_IMM_064_001,"B1B Cells NA, "
3960,34610,B2B Cells,IMPC_IMM_065_001,"B2B Cells NA, "
3961,34611,Follicular B Cells,IMPC_IMM_066_001,"Follicular B Cells NA, "
3962,34612,Follicular B Cells (CD21/35+),IMPC_IMM_067_001,"Follicular B Cells (CD21/35+) NA, "
3963,34613,Transitional B Cells,IMPC_IMM_068_001,"Transitional B Cells NA, "
3964,34614,Transitional B Cells (CD21/35 low),IMPC_IMM_069_001,"Transitional B Cells (CD21/35 low) NA, "
3965,34615,MZB,IMPC_IMM_070_001,"MZB NA, "
3966,34616,MZB (CD21/35 high),IMPC_IMM_071_001,"MZB (CD21/35 high) NA, "
3967,34617,cDCs,IMPC_IMM_072_001,"cDCs NA, "
3968,34618,cDCs CD11b Type,IMPC_IMM_073_001,"cDCs CD11b Type NA, "
3969,34619,pDCs,IMPC_IMM_074_001,"pDCs NA, "
3970,34620,RP Macrophage (F4/80+),IMPC_IMM_075_001,"RP Macrophage (F4/80+) NA, "
3971,34621,RP Macrophage (CD19-  CD11c-),IMPC_IMM_076_001,"RP Macrophage (CD19-  CD11c-) NA, "
3972,34622,Equipment name,IMPC_IMM_077_001,"Equipment name , "
3973,34623,Equipment manufacturer,IMPC_IMM_078_001,"Equipment manufacturer , "
3974,34624,Equipment model,IMPC_IMM_079_001,"Equipment model , "
3975,34625,CS&T Bead lot,IMPC_IMM_080_001,"CS&T Bead lot , "
3976,34626,Anesthesia,IMPC_IMM_081_001,"Anesthesia , "
3977,34627,Cell digestion,IMPC_IMM_082_001,"Cell digestion , "
3978,34628,Cell digestion agent,IMPC_IMM_083_001,"Cell digestion agent , "
3979,34629,Cell digestion agent manufacturer,IMPC_IMM_084_001,"Cell digestion agent manufacturer , "
3980,34630,Cell digestion agent catalog number,IMPC_IMM_085_001,"Cell digestion agent catalog number , "
3981,34631,Cell counting,IMPC_IMM_086_001,"Cell counting NA, "
3982,34632,Cell counting equipment manufacturer,IMPC_IMM_087_001,"Cell counting equipment manufacturer , "
3983,34633,Cell counting equipment model,IMPC_IMM_088_001,"Cell counting equipment model , "
3984,34634,Cell counting equipment name,IMPC_IMM_089_001,"Cell counting equipment name , "
3985,34635,Cell lysis buffer manufacturer,IMPC_IMM_090_001,"Cell lysis buffer manufacturer NA, "
3986,34636,Cell lysis buffer catalog number,IMPC_IMM_091_001,"Cell lysis buffer catalog number NA, "
3987,34637,Date and time of sacrifice,IMPC_IMM_092_001,"Date and time of sacrifice , "
3988,34638,Date and time of sample preparation,IMPC_IMM_093_001,"Date and time of sample preparation , "
3989,34639,Sample storage temperature until analysis (in Celsius),IMPC_IMM_094_001,"Sample storage temperature until analysis (in Celsius) , "
3990,34640,FCS repository reference (URL/ID),IMPC_IMM_095_001,"FCS repository reference (URL/ID) , "
3991,34641,Total number of acquired events in Panel A,IMPC_IMM_026_001,"Total number of acquired events in Panel A NA, "
3992,34642,Total number of acquired events in Panel B,IMPC_IMM_027_001,"Total number of acquired events in Panel B NA, "
3993,34643,Balanced salt solution type,IMPC_IMM_096_001,"Balanced salt solution type NA, "
3994,34644,Balanced salt solution manufacturer,IMPC_IMM_097_001,"Balanced salt solution manufacturer NA, "
3995,34645,Balanced salt solution catalog number,IMPC_IMM_098_001,"Balanced salt solution catalog number , "
3996,34646,RPMI manufacturer,IMPC_IMM_099_001,"RPMI manufacturer NA, "
3997,34647,RPMI catalog number,IMPC_IMM_100_001,"RPMI catalog number NA, "
3998,34648,DNAse I manufacturer,IMPC_IMM_101_001,"DNAse I manufacturer NA, "
3999,34649,DNAse I catalog number,IMPC_IMM_102_001,"DNAse I catalog number NA, "
4000,34650,Dead cell exclusion dye,IMPC_IMM_103_001,"Dead cell exclusion dye NA, "
4001,34651,Dead cell exclusion dye manufacturer,IMPC_IMM_104_001,"Dead cell exclusion dye manufacturer NA, "
4002,34652,Dead cell exclusion dye catalog number,IMPC_IMM_105_001,"Dead cell exclusion dye catalog number , "
4003,34653,Cell digestion temperature (in Celsius),IMPC_IMM_106_001,"Cell digestion temperature (in Celsius) NA, "
4004,34654,Panel A FCS file(s),IMPC_IMM_107_001,"Panel A FCS file(s) , "
4005,34655,Panel B FCS file(s),IMPC_IMM_108_001,"Panel B FCS file(s) , "
4006,34656,Automated analysis,IMPC_IMM_109_001,"Automated analysis NA, "
4007,34657,Collection buffer manufacturer,IMPC_IMM_110_001,"Collection buffer manufacturer NA, "
4008,34658,Collection buffer catalog number number,IMPC_IMM_111_001,"Collection buffer catalog number number NA, "
4009,34659,FACS buffer manufacturer,IMPC_IMM_112_001,"FACS buffer manufacturer NA, "
4010,34660,FACS buffer catalog number,IMPC_IMM_113_001,"FACS buffer catalog number NA, "
4011,34661,Enzyme buffer manufacturer,IMPC_IMM_114_001,"Enzyme buffer manufacturer NA, "
4012,34662,Enzyme buffer catalog number,IMPC_IMM_115_001,"Enzyme buffer catalog number NA, "
4013,41908,Alive,IMPC_GEL_001_001,"Alive alive, "
4014,41909,Scored,IMPC_GEL_002_001,"Scored scored, "
4015,41910,Cardiovascular System,IMPC_GEL_003_001,"Cardiovascular System cardiovascular_system, "
4016,41911,Cardiovascular Development,IMPC_GEL_004_001,"Cardiovascular Development cardiovascular_development, "
4017,41912,Vascular Development,IMPC_GEL_005_001,"Vascular Development vascular_development, "
4018,41913,Pericardium Morphology,IMPC_GEL_006_001,"Pericardium Morphology pericardium_morphology, "
4019,41914,Failure heart looping,IMPC_GEL_007_001,"Failure heart looping failure_heart_looping, "
4020,41915,Absent heartbeat,IMPC_GEL_008_001,"Absent heartbeat absent_heartbeat, "
4021,41916,Embryogenesis Phenotype,IMPC_GEL_009_001,"Embryogenesis Phenotype embryogenesis_phenotype, "
4022,41917,Abnormal Gastrulation,IMPC_GEL_010_001,"Abnormal Gastrulation abnormal_gastrulation, "
4023,41918,Embryo turning,IMPC_GEL_011_001,"Embryo turning embryo_turning, "
4024,41919,Incomplete embryo turning,IMPC_GEL_012_001,"Incomplete embryo turning incomplete_embryo_turning, "
4025,41920,Extraembryonic tissue morphology,IMPC_GEL_013_001,"Extraembryonic tissue morphology extraembryonic_tissue_morphology, "
4026,41921,Allantois Morphology,IMPC_GEL_014_001,"Allantois Morphology allantois_morphology, "
4027,41922,Vitelline vasculature morphology,IMPC_GEL_015_001,"Vitelline vasculature morphology vitelline_vasculature_morphology, "
4028,41923,Vitelline vein morphology,IMPC_GEL_016_001,"Vitelline vein morphology vitelline_vein_morphology, "
4029,41924,Pale yolk sac,IMPC_GEL_017_001,"Pale yolk sac pale_yolk_sac, "
4030,41925,Visceral yolk sac morphology,IMPC_GEL_018_001,"Visceral yolk sac morphology visceral_yolk_sac_morphology, "
4031,41926,Chorioallantoic fusion,IMPC_GEL_019_001,"Chorioallantoic fusion chorioallantoic_fusion, "
4032,41927,Developmental Patterning,IMPC_GEL_020_001,"Developmental Patterning developmental_patterning, "
4033,41928,Left-right axis patterning,IMPC_GEL_021_001,"Left-right axis patterning left_right_axis_patterning, "
4034,41929,Direction of heart looping,IMPC_GEL_022_001,"Direction of heart looping direction_of_heart_looping, "
4035,41930,Somite development,IMPC_GEL_023_001,"Somite development somite_development, "
4036,41931,Branchial arch morphology,IMPC_GEL_024_001,"Branchial arch morphology branchial_arch_morphology, "
4037,41932,Neural fold mophology,IMPC_GEL_025_001,"Neural fold mophology neural_fold_mophology, "
4038,41933,Neural tube morphology/development,IMPC_GEL_026_001,"Neural tube morphology/development neural_tube_morphology_development, "
4039,41934,Neural tube closure,IMPC_GEL_027_001,"Neural tube closure neural_tube_closure, "
4040,41935,Forebrain,IMPC_GEL_028_001,"Forebrain forebrain, "
4041,41936,Midbrain,IMPC_GEL_029_001,"Midbrain midbrain, "
4042,41937,Hindbrain,IMPC_GEL_030_001,"Hindbrain hindbrain, "
4043,41938,Spinal cord,IMPC_GEL_031_001,"Spinal cord spinal_cord, "
4044,41939,Embryo Size,IMPC_GEL_032_001,"Embryo Size embryo_size, "
4045,41940,Tail bud morphology,IMPC_GEL_033_001,"Tail bud morphology tail_bud_morphology, "
4046,41941,Integument,IMPC_GEL_034_001,"Integument integument, "
4047,41942,Skin Appearance,IMPC_GEL_035_001,"Skin Appearance skin_appearance, "
4048,41943,Pallor,IMPC_GEL_036_001,"Pallor pallor, "
4049,41944,Blebs,IMPC_GEL_037_001,"Blebs blebs, "
4050,41945,Limb Bud Morphology,IMPC_GEL_038_001,"Limb Bud Morphology limb_bud_morphology, "
4051,41946,Vision/Eye,IMPC_GEL_039_001,"Vision/Eye vision_eye, "
4052,41947,Eye development,IMPC_GEL_040_001,"Eye development eye_development, "
4053,41948,Hearing/Vestibular/Ear,IMPC_GEL_041_001,"Hearing/Vestibular/Ear hearing_vestibular_ear, "
4054,41949,Otic vesicle morphology,IMPC_GEL_042_001,"Otic vesicle morphology otic_vesicle_morphology, "
4055,41950,Comment on image,IMPC_GEL_043_001,"Comment on image comment_on_image, "
4056,41951,Images,IMPC_GEL_044_001,"Images images, "
4057,41952,Experimenter ID,IMPC_GEL_045_001,"Experimenter ID experimenter_id, "
4058,41953,Equipment ID,IMPC_GEL_046_001,"Equipment ID equipment_id, "
4059,41954,Equipment Manufacturer,IMPC_GEL_047_001,"Equipment Manufacturer equipment_manufacturer, "
4060,41955,Equipment Model,IMPC_GEL_048_001,"Equipment Model equipment_model, "
4061,41956,Fixative,IMPC_GEL_049_001,"Fixative fixative, "
4062,41957,Time of Dissection,IMPC_GEL_050_001,"Time of Dissection time_of_dissection, "
4063,41958,Somite Stage,IMPC_GEL_051_001,"Somite Stage somite_stage, "
4064,41959,Time of dark cycle start,IMPC_GEL_052_001,"Time of dark cycle start time_of_dark_cycle_start, "
4065,41960,Time of dark cycle end,IMPC_GEL_053_001,"Time of dark cycle end time_of_dark_cycle_end, "
4066,41961,Date equipment last calibrated,IMPC_GEL_054_001,"Date equipment last calibrated date_equipment_last_calibrated, "
4067,22656,Experimenter ID,IMPC_BLK_003_001,"Experimenter ID experimenter, "
4068,22657,Fixative,IMPC_BLK_006_001,"Fixative fixative, "
4069,22658,Tissue storage ID(s),IMPC_BLK_007_001,"Tissue storage ID(s) cassette_id, "
4070,22659,Embedding medium,IMPC_BLK_008_001,"Embedding medium embedding_medium, "
4071,22660,Embedding orientation,IMPC_BLK_009_001,"Embedding orientation embedding_orientation, "
4072,22661,Brain,IMPC_BLK_010_001,"Brain brain, "
4073,22662,Eye 1 with optic nerve (optic nerve parallel to cassette surface),IMPC_BLK_011_001,"Eye 1 with optic nerve (optic nerve parallel to cassette surface) eye_1_with_optic_nerve_optic_nerve_parallel_to_cassette_surface_, "
4074,22663,Eye 2 with optic nerve (within skull),IMPC_BLK_012_001,"Eye 2 with optic nerve (within skull) eye_2_with_optic_nerve_within_skull_, "
4075,22664,Spinal cord,IMPC_BLK_013_001,"Spinal cord spinal_cord, "
4076,22665,Thymus,IMPC_BLK_014_001,"Thymus thymus, "
4077,22666,Thyroid,IMPC_BLK_015_001,"Thyroid thyroid, "
4078,22667,Heart,IMPC_BLK_016_001,"Heart heart, "
4079,22668,Trachea,IMPC_BLK_017_001,"Trachea trachea, "
4080,22669,Esophagus,IMPC_BLK_018_001,"Esophagus esophagus, "
4081,22670,Lung,IMPC_BLK_019_001,"Lung lung, "
4082,22671,Liver,IMPC_BLK_020_001,"Liver liver, "
4083,22672,Gall bladder,IMPC_BLK_021_001,"Gall bladder gall_bladder, "
4084,22673,Stomach,IMPC_BLK_022_001,"Stomach stomach, "
4085,22674,Small intestine,IMPC_BLK_023_001,"Small intestine small_intestine, "
4086,22675,Large intestine,IMPC_BLK_024_001,"Large intestine large_intestine, "
4087,22676,Pancreas,IMPC_BLK_025_001,"Pancreas pancreas, "
4088,22677,Spleen,IMPC_BLK_026_001,"Spleen spleen, "
4089,22678,Left Kidney,IMPC_BLK_027_001,"Left Kidney left_kidney, "
4090,22679,Right Kidney,IMPC_BLK_028_001,"Right Kidney right_kidney, "
4091,22680,Left Adrenal gland,IMPC_BLK_029_001,"Left Adrenal gland left_adrenal_gland, "
4092,22681,Right Adrenal gland,IMPC_BLK_030_001,"Right Adrenal gland right_adrenal_gland, "
4093,22682,Mammary gland,IMPC_BLK_031_001,"Mammary gland mammary_gland, "
4094,22683,Lymph node,IMPC_BLK_032_001,"Lymph node lymph_node, "
4095,22684,Skin,IMPC_BLK_033_001,"Skin skin, "
4096,22685,Skeletal muscle,IMPC_BLK_034_001,"Skeletal muscle skeletal_muscle, "
4097,22686,Urinary bladder,IMPC_BLK_035_001,"Urinary bladder urinary_bladder, "
4098,22687,Testes,IMPC_BLK_036_001,"Testes testes, "
4099,22688,Epididymis,IMPC_BLK_037_001,"Epididymis epididymis, "
4100,22689,Prostate,IMPC_BLK_038_001,"Prostate prostate, "
4101,22690,Seminal vesicles,IMPC_BLK_039_001,"Seminal vesicles seminal_vesicles, "
4102,22691,Ovary,IMPC_BLK_040_001,"Ovary ovary, "
4103,22692,Uterus,IMPC_BLK_041_001,"Uterus uterus, "
4104,22693,Additional tissues,IMPC_BLK_042_001,"Additional tissues additional_tissues, "
4105,22694,Date of sacrifice,IMPC_BLK_001_001,"Date of sacrifice , "
4106,22695,Date of necropsy,IMPC_BLK_002_001,"Date of necropsy , "
4107,22696,Salivary gland,IMPC_BLK_043_001,"Salivary gland NA, "
4108,22697,Sternum,IMPC_BLK_044_001,"Sternum NA, "
4109,22698,Femur,IMPC_BLK_045_001,"Femur NA, "
4110,22699,Bone marrow,IMPC_BLK_046_001,"Bone marrow NA, "
4111,22700,Brown fat,IMPC_BLK_047_001,"Brown fat NA, "
4112,22701,Tibia,IMPC_BLK_048_001,"Tibia NA, "
4113,22702,Knee joint,IMPC_BLK_049_001,"Knee joint NA, "
4114,22703,Trigeminal V nerve,IMPC_BLK_050_001,"Trigeminal V nerve NA, "
4115,22704,Nasal cavity,IMPC_BLK_051_001,"Nasal cavity NA, "
4116,22705,Ear,IMPC_BLK_052_001,"Ear NA, "
4117,22706,Tooth,IMPC_BLK_053_001,"Tooth NA, "
4118,22707,Tongue,IMPC_BLK_054_001,"Tongue NA, "
4119,22708,Sciatic nerve,IMPC_BLK_055_001,"Sciatic nerve NA, "
4120,22709,Bone,IMPC_BLK_056_001,"Bone NA, "
4121,42223,Alive,IMPC_GEL_001_001,"Alive alive, "
4122,42224,Scored,IMPC_GEL_002_001,"Scored scored, "
4123,42225,Cardiovascular System,IMPC_GEL_003_001,"Cardiovascular System cardiovascular_system, "
4124,42226,Cardiovascular Development,IMPC_GEL_004_001,"Cardiovascular Development cardiovascular_development, "
4125,42227,Vascular Development,IMPC_GEL_005_001,"Vascular Development vascular_development, "
4126,42228,Pericardium Morphology,IMPC_GEL_006_001,"Pericardium Morphology pericardium_morphology, "
4127,42229,Embryogenesis Phenotype,IMPC_GEL_009_001,"Embryogenesis Phenotype embryogenesis_phenotype, "
4128,42230,Abnormal Gastrulation,IMPC_GEL_010_001,"Abnormal Gastrulation abnormal_gastrulation, "
4129,42231,Embryo turning,IMPC_GEL_011_001,"Embryo turning embryo_turning, "
4130,42232,Extraembryonic tissue morphology,IMPC_GEL_013_001,"Extraembryonic tissue morphology extraembryonic_tissue_morphology, "
4131,42233,Allantois Morphology,IMPC_GEL_014_001,"Allantois Morphology allantois_morphology, "
4132,42234,Vitelline vasculature morphology,IMPC_GEL_015_001,"Vitelline vasculature morphology vitelline_vasculature_morphology, "
4133,42235,Vitelline vein morphology,IMPC_GEL_016_001,"Vitelline vein morphology vitelline_vein_morphology, "
4134,42236,Visceral yolk sac morphology,IMPC_GEL_018_001,"Visceral yolk sac morphology visceral_yolk_sac_morphology, "
4135,42237,Chorioallantoic fusion,IMPC_GEL_019_001,"Chorioallantoic fusion chorioallantoic_fusion, "
4136,42238,Developmental Patterning,IMPC_GEL_020_001,"Developmental Patterning developmental_patterning, "
4137,42239,Left-right axis patterning,IMPC_GEL_021_001,"Left-right axis patterning left_right_axis_patterning, "
4138,42240,Direction of heart looping,IMPC_GEL_022_001,"Direction of heart looping direction_of_heart_looping, "
4139,42241,Somite development,IMPC_GEL_023_001,"Somite development somite_development, "
4140,42242,Branchial arch morphology,IMPC_GEL_024_001,"Branchial arch morphology branchial_arch_morphology, "
4141,42243,Neural fold mophology,IMPC_GEL_025_001,"Neural fold mophology neural_fold_mophology, "
4142,42244,Neural tube morphology/development,IMPC_GEL_026_001,"Neural tube morphology/development neural_tube_morphology_development, "
4143,42245,Neural tube closure,IMPC_GEL_027_001,"Neural tube closure neural_tube_closure, "
4144,42246,Forebrain,IMPC_GEL_028_001,"Forebrain forebrain, "
4145,42247,Midbrain,IMPC_GEL_029_001,"Midbrain midbrain, "
4146,42248,Hindbrain,IMPC_GEL_030_001,"Hindbrain hindbrain, "
4147,42249,Spinal cord,IMPC_GEL_031_001,"Spinal cord spinal_cord, "
4148,42250,Embryo Size,IMPC_GEL_032_001,"Embryo Size embryo_size, "
4149,42251,Tail bud morphology,IMPC_GEL_033_001,"Tail bud morphology tail_bud_morphology, "
4150,42252,Integument,IMPC_GEL_034_001,"Integument integument, "
4151,42253,Skin Appearance,IMPC_GEL_035_001,"Skin Appearance skin_appearance, "
4152,42254,Limb Bud Morphology,IMPC_GEL_038_001,"Limb Bud Morphology limb_bud_morphology, "
4153,42255,Vision/Eye,IMPC_GEL_039_001,"Vision/Eye vision_eye, "
4154,42256,Eye development,IMPC_GEL_040_001,"Eye development eye_development, "
4155,42257,Hearing/Vestibular/Ear,IMPC_GEL_041_001,"Hearing/Vestibular/Ear hearing_vestibular_ear, "
4156,42258,Otic vesicle morphology,IMPC_GEL_042_001,"Otic vesicle morphology otic_vesicle_morphology, "
4157,42259,Comment on image,IMPC_GEL_043_001,"Comment on image comment_on_image, "
4158,42260,Images,IMPC_GEL_044_001,"Images images, "
4159,42261,Experimenter ID,IMPC_GEL_045_001,"Experimenter ID experimenter_id, "
4160,42262,Equipment ID,IMPC_GEL_046_001,"Equipment ID equipment_id, "
4161,42263,Equipment Manufacturer,IMPC_GEL_047_001,"Equipment Manufacturer equipment_manufacturer, "
4162,42264,Equipment Model,IMPC_GEL_048_001,"Equipment Model equipment_model, "
4163,42265,Fixative,IMPC_GEL_049_001,"Fixative fixative, "
4164,42266,Time of Dissection,IMPC_GEL_050_001,"Time of Dissection time_of_dissection, "
4165,42267,Somite Stage,IMPC_GEL_051_001,"Somite Stage somite_stage, "
4166,42268,Time of dark cycle start,IMPC_GEL_052_001,"Time of dark cycle start time_of_dark_cycle_start, "
4167,42269,Time of dark cycle end,IMPC_GEL_053_001,"Time of dark cycle end time_of_dark_cycle_end, "
4168,42270,Date equipment last calibrated,IMPC_GEL_054_001,"Date equipment last calibrated date_equipment_last_calibrated, "
4169,42271,Failure heart looping,IMPC_GEL_007_002,"Failure heart looping failure_heart_looping, "
4170,42272,Absent heartbeat,IMPC_GEL_008_002,"Absent heartbeat absent_heartbeat, "
4171,42273,Incomplete embryo turning,IMPC_GEL_012_002,"Incomplete embryo turning incomplete_embryo_turning, "
4172,42274,Pale yolk sac,IMPC_GEL_017_002,"Pale yolk sac pale_yolk_sac, "
4173,42275,Pallor,IMPC_GEL_036_002,"Pallor pallor, "
4174,42276,Blebs,IMPC_GEL_037_002,"Blebs blebs, "
4175,42277,Severely Dysmorphic,IMPC_GEL_055_001,"Severely Dysmorphic NA, "
4176,35564,Response amplitude - BN,IMPC_ACS_001_001,"Response amplitude - BN response_amplitude_bn, "
4177,35565,Response amplitude - PP1,IMPC_ACS_002_001,"Response amplitude - PP1 response_amplitude_pp1, "
4178,35566,Response amplitude - PP2,IMPC_ACS_003_001,"Response amplitude - PP2 response_amplitude_pp2, "
4179,35567,Response amplitude - PP3,IMPC_ACS_004_001,"Response amplitude - PP3 response_amplitude_pp3, "
4180,35568,Response amplitude - PP4,IMPC_ACS_005_001,"Response amplitude - PP4 response_amplitude_pp4, "
4181,35569,Response amplitude - S,IMPC_ACS_006_001,"Response amplitude - S response_amplitude_s, "
4182,35570,Response amplitude - PP1_S,IMPC_ACS_007_001,"Response amplitude - PP1_S response_amplitude_pp1_s, "
4183,35571,Response amplitude - PP2_S,IMPC_ACS_008_001,"Response amplitude - PP2_S response_amplitude_pp2_s, "
4184,35572,Response amplitude - PP3_S,IMPC_ACS_009_001,"Response amplitude - PP3_S response_amplitude_pp3_s, "
4185,35573,Response amplitude - PP4_S,IMPC_ACS_010_001,"Response amplitude - PP4_S response_amplitude_pp4_s, "
4186,35574,Light level in chamber,IMPC_ACS_011_001,"Light level in chamber light_level_in_chamber, "
4187,35575,Experimenter ID,IMPC_ACS_014_001,"Experimenter ID experimenter, "
4188,35576,Startle stimulus,IMPC_ACS_015_001,"Startle stimulus startle_pulse, "
4189,35577,Background noise,IMPC_ACS_016_001,"Background noise background_noise, "
4190,35578,Pre-pulse stimulus 1,IMPC_ACS_017_001,"Pre-pulse stimulus 1 pre_pulse_stimulus_1, "
4191,35579,Pre-pulse stimulus 2,IMPC_ACS_018_001,"Pre-pulse stimulus 2 pre_pulse_stimulus_2, "
4192,35580,Pre-pulse stimulus 3,IMPC_ACS_019_001,"Pre-pulse stimulus 3 pre_pulse_stimulus_3, "
4193,35581,Pre-pulse stimulus 4,IMPC_ACS_020_001,"Pre-pulse stimulus 4 pre_pulse_stimulus_4, "
4194,35582,Inter-trial interval,IMPC_ACS_021_001,"Inter-trial interval inter_trial_interval, "
4195,35583,Number of trials,IMPC_ACS_022_001,"Number of trials number_of_trials, "
4196,35584,In-chamber adapt time,IMPC_ACS_023_001,"In-chamber adapt time in_chamber_adapt_time, "
4197,35585,Stimulus order,IMPC_ACS_024_001,"Stimulus order stimulus_order, "
4198,35586,Mouse chamber ID,IMPC_ACS_025_001,"Mouse chamber ID mouse_chamber_id, "
4199,35587,Equipment ID,IMPC_ACS_026_001,"Equipment ID equipment_name, "
4200,35588,Equipment manufacturer,IMPC_ACS_027_001,"Equipment manufacturer equipment_manufacturer, "
4201,35589,Equipment model,IMPC_ACS_028_001,"Equipment model equipment_model, "
4202,35590,Software version,IMPC_ACS_029_001,"Software version software_version, "
4203,35591,Mouse chamber dimension,IMPC_ACS_030_001,"Mouse chamber dimension mouse_chamber_dimension, "
4204,35592,Sound generator manufacturer,IMPC_ACS_031_001,"Sound generator manufacturer sound_generator, "
4205,35593,Sound-proof box dimension,IMPC_ACS_032_001,"Sound-proof box dimension sound_proof_box_dimension, "
4206,35594,% Pre-pulse inhibition - PPI1,IMPC_ACS_033_001,"% Pre-pulse inhibition - PPI1 _pre_pulse_inhibition_pp1, "
4207,35595,% Pre-pulse inhibition - PPI2,IMPC_ACS_034_001,"% Pre-pulse inhibition - PPI2 _pre_pulse_inhibition_pp2, "
4208,35596,% Pre-pulse inhibition - PPI3,IMPC_ACS_035_001,"% Pre-pulse inhibition - PPI3 _pre_pulse_inhibition_pp3, "
4209,35597,% Pre-pulse inhibition - PPI4,IMPC_ACS_036_001,"% Pre-pulse inhibition - PPI4 _pre_pulse_inhibition_pp4, "
4210,35598,% Pre-pulse inhibition - Global,IMPC_ACS_037_001,"% Pre-pulse inhibition - Global _pre_pulse_inhibition_global, "
4211,35599,Date equipment last calibrated,IMPC_ACS_038_001,"Date equipment last calibrated , "
4212,35600,Inter PP-S stimulus interval,IMPC_ACS_013_001,"Inter PP-S stimulus interval , "
4213,35601,Sound generator model,IMPC_ACS_039_001,"Sound generator model , "
4214,35602,Acoustic startle response measure,IMPC_ACS_040_001,"Acoustic startle response measure , "
4215,42538,Pericardium Morphology,IMPC_GEL_006_001,"Pericardium Morphology pericardium_morphology, "
4216,42539,Embryo turning,IMPC_GEL_011_001,"Embryo turning embryo_turning, "
4217,42540,Allantois Morphology,IMPC_GEL_014_001,"Allantois Morphology allantois_morphology, "
4218,42541,Vitelline vasculature morphology,IMPC_GEL_015_001,"Vitelline vasculature morphology vitelline_vasculature_morphology, "
4219,42542,Visceral yolk sac morphology,IMPC_GEL_018_001,"Visceral yolk sac morphology visceral_yolk_sac_morphology, "
4220,42543,Chorioallantoic fusion,IMPC_GEL_019_001,"Chorioallantoic fusion chorioallantoic_fusion, "
4221,42544,Branchial arch morphology,IMPC_GEL_024_001,"Branchial arch morphology branchial_arch_morphology, "
4222,42545,Neural tube closure,IMPC_GEL_027_001,"Neural tube closure neural_tube_closure, "
4223,42546,Forebrain,IMPC_GEL_028_001,"Forebrain forebrain, "
4224,42547,Midbrain,IMPC_GEL_029_001,"Midbrain midbrain, "
4225,42548,Hindbrain,IMPC_GEL_030_001,"Hindbrain hindbrain, "
4226,42549,Embryo Size,IMPC_GEL_032_001,"Embryo Size embryo_size, "
4227,42550,Tail bud morphology,IMPC_GEL_033_001,"Tail bud morphology tail_bud_morphology, "
4228,42551,Limb Bud Morphology,IMPC_GEL_038_001,"Limb Bud Morphology limb_bud_morphology, "
4229,42552,Otic vesicle morphology,IMPC_GEL_042_001,"Otic vesicle morphology otic_vesicle_morphology, "
4230,42553,Comment on image,IMPC_GEL_043_001,"Comment on image comment_on_image, "
4231,42554,Images,IMPC_GEL_044_001,"Images images, "
4232,42555,Experimenter ID,IMPC_GEL_045_001,"Experimenter ID experimenter_id, "
4233,42556,Equipment ID,IMPC_GEL_046_001,"Equipment ID equipment_id, "
4234,42557,Equipment Manufacturer,IMPC_GEL_047_001,"Equipment Manufacturer equipment_manufacturer, "
4235,42558,Equipment Model,IMPC_GEL_048_001,"Equipment Model equipment_model, "
4236,42559,Fixative,IMPC_GEL_049_001,"Fixative fixative, "
4237,42560,Time of Dissection,IMPC_GEL_050_001,"Time of Dissection time_of_dissection, "
4238,42561,Somite Stage,IMPC_GEL_051_001,"Somite Stage somite_stage, "
4239,42562,Time of dark cycle start,IMPC_GEL_052_001,"Time of dark cycle start time_of_dark_cycle_start, "
4240,42563,Time of dark cycle end,IMPC_GEL_053_001,"Time of dark cycle end time_of_dark_cycle_end, "
4241,42564,Date equipment last calibrated,IMPC_GEL_054_001,"Date equipment last calibrated date_equipment_last_calibrated, "
