gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,parameter_name,pvalue
MGI:1922387,Rprd2,C57BL,Early adult,ESLIM_008_001_012,Tail elevation,0.8733125
MGI:1927753,Inpp5e,C57BL,Early adult,IMPC_OFD_013_001,Periphery average speed,0.06923445
MGI:1915862,Ube2c,C57BL,E18.5,IMPC_CSD_061_001,Skin color - tail,0.7169257
MGI:2442704,Frrs1l,C57BL,Early adult,IMPC_HEM_004_001,Hematocrit,0.1705775
MGI:2444508,Fitm2,C57BL,E15.5,CCP_XRY_005_001,Teeth,0.9717753
MGI:1918066,Rpusd2,C57BL,Early adult,IMPC_CBC_005_001,Creatinine,0.1879073
MGI:97898,Ren1,C57BL,Early adult,MGP_IMM_116_001,Plasma cells - % of CD45+,0.9485641
MGI:2685195,Zbtb34,C57BL,E9.5,IMPC_CBC_018_001,Glucose,0.2104304
MGI:2444631,Bltp1,C57BL,Early adult,IMPC_EYE_070_001,Left outer nuclear layer,0.2329561
MGI:2444631,Bltp1,C57BL,E12.5,IMPC_XRY_021_001,Humerus,0.9211174
MGI:1924486,Sccpdh,C57BL,Early adult,IMPC_IMM_032_002,Effector CD8+ T cells - % of live leukocytes (Panel A),0.6271366
MGI:1346069,Cdh20,C57BL,Early adult,IMPC_CAL_017_001,Respiratory Exchange Ratio,0.2836197
MGI:1920199,Ccnt2,C57BL,E12.5,IMPC_ACS_033_001,% Pre-pulse inhibition - PPI1,0.8259907
MGI:1920484,Snorc,C57BL,Early adult,MGP_IMM_040_001,Ly6C+ mature NK cells - % of mature NK cells,0.3960981
MGI:98397,Src,129SV,Early adult,ESLIM_020_001_002,Heart weight,0.2099187
MGI:1914454,Eif2s2,C57BL,Early adult,IMPC_GEP_022_001,Embryo Size,0.8734209
MGI:1913692,Spc25,C57BL,Early adult,IMPC_OFD_020_001,Distance travelled - total,0.3186312
MGI:99218,Cdh4,C57BL,Early adult,IMPC_GEL_027_001,Neural tube closure,0.6381218
MGI:2685869,Dpy19l4,C57BL,Early adult,IMPC_CSD_061_001,Skin color - tail,0.8917282
MGI:1201673,Shox2,C57BL,E9.5,IMPC_CSD_036_001,Startle response,0.5870352
MGI:2444508,Fitm2,C57BL,E15.5,IMPC_EYE_087_001,Right vitreous humor thickness,0.3626204
MGI:1927241,Wdr12,C57BL,E9.5,ESLIM_011_001_004,PP3 startle magnitude,0.2522058
MGI:2685195,Zbtb34,C57BL,Early adult,IMPC_GEO_017_002,Facial Cleft,0.3106594
MGI:104559,Rcn1,C57BL,Early adult,ESLIM_016_001_005,Mean cell volume,0.9958906
MGI:2448514,R3hdm1,C57BL,Early adult,HMGULA_DYS_016_001,Coat - hair texture / appearance - abdomen,0.2191541
MGI:1353665,Usp21,C57BL,Early adult,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.831167
MGI:1916413,Mrpl44,C57BL,Early adult,IMPC_CBC_013_001,Alanine aminotransferase,0.3739549
MGI:1914454,Eif2s2,C57BL,E12.5,ESLIM_011_001_002,PP1 startle magnitude,0.8974038
MGI:102519,Cst3,C57BL,E12.5,IMPC_ECG_010_001,HRV,0.6113617
MGI:1353435,Fbxw2,C57BL,Early adult,IMPC_GEL_027_001,Neural tube closure,0.7120641
MGI:1922776,Eppin,C57BL,Early adult,IMPC_GEM_019_001,Embryo Size,0.2638804
MGI:2443805,Bnc2,C57BL,Early adult,MGP_MLN_012_001,Total CD8+ T cells - % of ab T cells,0.49786
MGI:1918066,Rpusd2,C57BL,Early adult,IMPC_CSD_030_001,Tremor,0.3716816
MGI:106925,Cldn11,C57BL,Middle aged adult,IMPC_GEL_058_001,Heart morphology,0.6450764
MGI:1860511,Heyl,C57BL,Early adult,IMPC_CBC_015_001,Total cholesterol,0.9705637
MGI:2676312,Abca12,C57BL,E18.5,IMPC_OFD_050_001,Percentage center movement time,0.4280825
MGI:1921520,Usp20,C57BL,Early adult,IMPC_GEL_011_001,Embryo turning,0.7366299
MGI:107674,Cd1d1,C57BL,Early adult,IMPC_CBC_009_001,Calcium,0.7186722
MGI:1341898,Nmur1,C57BL,Early adult,IMPC_GEP_022_001,Embryo Size,0.2779479
MGI:1309469,Casq2,C57BL,Early adult,IMPC_EYE_088_001,Left vitreous humour thickness,0.5741228
MGI:1921722,Stpg3,C57BL,Early adult,IMPC_HEM_001_001,White blood cell count,0.4921107
MGI:2443564,Ambra1,C57BL,E15.5,MGP_IMM_080_001,Total CD8+ T cells - % of CD45+,0.6394653
MGI:1914210,Mindy3,C57BL,Early adult,IMPC_CBC_005_001,Creatinine,0.2961441
MGI:1913692,Spc25,C57BL,E9.5,MGP_CSD_008_001,Startle response,0.4217011
MGI:1337072,Ier5,C57BL,Late adult,IMPC_CBC_017_001,Triglycerides,0.1911637
MGI:109424,Abca4,C57BL,Early adult,IMPC_IMM_028_002,Effector CD4+ T helper cells - % of live leukocytes (Panel A),0.6891206
MGI:2654325,Gba2,C57BL,Early adult,IMPC_XRY_057_001,Kyphosis,0.6106982
MGI:1922828,Fggy,C57BL,Early adult,IMPC_HEM_032_001,Lymphocyte cell count,0.6626164
MGI:1923676,Fam209,C57BL,Early adult,ESLIM_008_001_016,Trunk curl,0.7105137
MGI:98960,Wnt6,C57BL,Early adult,JAX_HBD_001_001,Total holepokes,0.857259
MGI:2677271,Slc24a5,C57BL,Early adult,IMPC_CBC_014_001,Alkaline phosphatase,0.4841956
MGI:1913692,Spc25,C57BL,E9.5,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.6514621
MGI:107363,Stxbp1,C57BL,E9.5,IMPC_XRY_021_001,Humerus,0.5506148
MGI:1916987,Ttl,C57BL,E12.5,IMPC_XRY_012_001,Pelvis,0.9446969
MGI:1919128,Fam83d,C57BL,Early adult,MGP_MLN_075_001,Resting CD8+ T cells - % of CD45+,0.4670005
MGI:1920199,Ccnt2,C57BL,Early adult,IMPC_CSD_030_001,Tremor,0.1750292
MGI:1924256,Ddrgk1,C57BL,Early adult,ESLIM_013_001_004,Left retina pigmentation,0.6329256
MGI:1917120,Polr3gl,C57BL,Early adult,IMPC_CSD_032_001,Locomotor activity,0.3585894
MGI:2443564,Ambra1,C57BL,E12.5,IMPC_CSD_036_001,Startle response,0.1098502
MGI:1914454,Eif2s2,C57BL,E12.5,MGP_MLN_075_001,Resting CD8+ T cells - % of CD45+,0.4135894
MGI:1915862,Ube2c,C57BL,Early adult,KMPCLA_GRS_010_001,Forelimb grip strength normalised against body weight,0.2427265
MGI:97850,Raly,C57BL,Early adult,ESLIM_015_001_011,Iron,0.06790835
MGI:1927580,Bloc1s6,C57BL,Early adult,IMPC_HEM_004_001,Hematocrit,0.7216687
MGI:97850,Raly,C57BL,Early adult,IMPC_ECH_013_001,HR,0.907332
MGI:2443564,Ambra1,C57BL,Early adult,UCD_OWT_029_001,Body length,0.9817191
MGI:1916987,Ttl,C57BL,Early adult,CCP_XRY_003_001,Maxilla/Pre-maxilla,0.7939008
MGI:1353665,Usp21,C57BL,Early adult,MGP_CSD_008_001,Startle response,0.3972058
MGI:1913746,Ppdpf,C57BL,Early adult,ESLIM_015_001_002,Urea,0.9434201
MGI:1919880,Hspa12b,C57BL,Early adult,IMPC_HEM_031_001,Lymphocyte differential count,0.2162341
MGI:2685195,Zbtb34,C57BL,Early adult,IMPC_IMM_028_002,Effector CD4+ T helper cells - % of live leukocytes (Panel A),0.9217623
MGI:2140259,Zmynd12,C57BL,Early adult,ESLIM_008_001_007,Transfer arousal,0.7136538
MGI:1339968,Cth,C57BL,Early adult,MGP_IMM_009_001,Total Treg cells - % of CD4+,0.1802822
MGI:3588202,Garin4,C57BL,Early adult,IMPC_HEM_030_001,Neutrophil cell count,0.8913558
MGI:1859866,Cdc20,C57BL,E12.5,IMPC_EYE_027_001,Persistence of hyaloid vascular system,0.8604207
MGI:1920199,Ccnt2,C57BL,E18.5,JAX_LDT_002_001,Light side time spent,0.3927324
MGI:1201673,Shox2,C57BL,E9.5,IMPC_XRY_019_001,Fusion of vertebrae,0.6689866
MGI:107171,Ppp3r2,C57BL,Early adult,MGP_IMM_116_001,Plasma cells - % of CD45+,0.6657961
MGI:1924817,Tram2,C57BL,Early adult,JAX_OFD_022_001,Percentage center time,0.09599577
MGI:107191,Bmpr1b,C57BL,Early adult,ESLIM_011_001_002,PP1 startle magnitude,0.5897107
MGI:1346086,Aplnr,C57BL,Early adult,IMPC_CSD_023_001,Vibrissae - presence,0.2980649
MGI:1351315,Eloa,C57BL,Early adult,M-G-P_026_001_003,Coat intact,0.4528414
MGI:97565,Pgm1,C57BL,E12.5,IMPC_XRY_033_001,Tibia length,0.6655523
MGI:1921263,Rftn2,C59BL,Early adult,IMPC_HEM_005_001,Mean cell volume,0.5123047
MGI:1890510,Atp6v0b,C57BL,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.06770778
MGI:1919369,Tpx2,C57BL,Early adult,IMPC_HEM_037_001,Basophil cell count,0.8713923
MGI:1922423,Tex38,C57BL,Early adult,IMPC_HEM_002_001,Red blood cell count,0.09664575
MGI:107363,Stxbp1,C57BL,E18.5,IMPC_CBC_001_001,Sodium,0.1252744
MGI:2448514,R3hdm1,C57BL,Early adult,IMPC_FEA_106_001,Difference in Cue Tone and Cue Baseline % Freezing,0.6971886
MGI:97565,Pgm1,C57BL,E12.5,JAX_ROT_002_001,Average duration,0.727308
MGI:1924817,Tram2,C57BL,Early adult,IMPC_CBC_014_001,Alkaline phosphatase,3.403112e-06
MGI:2676312,Abca12,C57BL,E18.5,IMPC_GEM_029_001,Tail Morphology,0.07926188
MGI:95777,Gnas,129SV,Early adult,IMPC_EYE_083_001,Vitreous,0.6321528
MGI:2444631,Bltp1,C57BL,E15.5,M-G-P_026_001_003,Coat intact,0.9194759
MGI:1353435,Fbxw2,C57BL,Early adult,IMPC_EYE_068_001,Left total retinal thickness,0.8258598
MGI:1860511,Heyl,C57BL,Early adult,CCP_XRY_004_001,Mandibles,0.561857
MGI:1922387,Rprd2,C57BL,E12.5,IMPC_OFD_010_001,Periphery distance travelled,0.7330954
MGI:103300,Rbl1,C57BL,Early adult,ESLIM_005_001_005,Bone Mineral Content,0.7807405
MGI:3617846,Ankrd34a,C57BL,Early adult,IMPC_CSD_024_001,Vibrissae - appearance,0.6903691
MGI:2443564,Ambra1,C57BL,E12.5,IMPC_OFD_014_001,Center distance travelled,0.6281299
MGI:1914199,Trim59,C57BL,E18.5,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.9095517
MGI:1914542,Pigc,C57BL,Early adult,IMPC_OFD_013_001,Periphery average speed,0.1674366
MGI:98386,Sptan1,C57BL,E9.5,JAX_LDT_002_001,Light side time spent,0.2738471
MGI:2444681,Hhat,C57BL,Early adult,M-G-P_025_001_005,Potassium,0.7987898
MGI:1927753,Inpp5e,C57BL,Early adult,IMPC_OFD_020_001,Distance travelled - total,0.5695881
MGI:1920484,Snorc,C57BL,Early adult,IMPC_GEO_019_001,Embryo Size,0.2163953
MGI:104899,Mob4,C57BL,E9.5,IMPC_ABR_012_001,30kHz-evoked ABR Threshold,0.6705067
MGI:1927753,Inpp5e,C57BL,E15.5,JAX_PLC_004_001,Glucose,0.5644783
MGI:1919369,Tpx2,C57BL,E9.5,MGP_IMM_077_001,Effector Treg cells - % of CD45+,0.4136491
MGI:2685195,Zbtb34,C57BL,E9.5,MGP_IMM_077_001,Effector Treg cells - % of CD45+,0.1680776
MGI:1922776,Eppin,C57BL,Early adult,IMPC_IMM_028_002,Effector CD4+ T helper cells - % of live leukocytes (Panel A),0.5702068
MGI:1859866,Cdc20,C57BL,E9.5,CCP_XRY_004_001,Mandibles,0.09423866
MGI:97565,Pgm1,C57BL,Early adult,IMPC_FEA_003_001,Conditioning Baseline % Freezing Time,0.07618972
MGI:1341907,Fjx1,C57BL,Early adult,JAX_HBD_001_001,Total holepokes,0.8606
MGI:107363,Stxbp1,C57BL,Early adult,IMPC_ECH_012_001,LVPWs,0.5078944
MGI:3590554,Firrm,C57BL,Early adult,IMPC_GEP_005_002,Responsive to tactile stimuli,0.8243842
MGI:2684789,Lrsam1,C57BL,Early adult,ESLIM_020_001_002,Heart weight,0.7078772
MGI:1341898,Nmur1,C57BL,Early adult,IMPC_CSD_033_001,Gait,0.8530477
MGI:106925,Cldn11,C57BL,Early adult,IMPC_GEL_058_001,Heart morphology,0.3463776
MGI:1919300,Poglut2,C57BL,Early adult,JAX_HBD_001_001,Total holepokes,0.9014667
MGI:1916987,Ttl,C57BL,Early adult,IMPC_EYE_023_001,Optic Disc,0.6912475
MGI:3588202,Garin4,C56BL,Early adult,CCP_XRY_004_001,Mandibles,0.5147733
MGI:101770,Bfsp1,C57BL,Early adult,MGP_IMM_086_001,CD5+ gd T cells - % of CD45+,0.6600564
MGI:98386,Sptan1,C57BL,Early adult,IMPC_FEA_106_001,Difference in Cue Tone and Cue Baseline % Freezing,0.646405
MGI:2385213,Pdik1l,C57BL,Early adult,IMPC_ECG_010_001,HRV,0.893679
MGI:98960,Wnt6,C57BL,E12.5,JAX_LDT_003_001,Time mobile light side,0.214748
MGI:1924933,Ehmt1,C57BL,Early adult,M-G-P_016_001_006,Mean-corpuscular-haemoglobin,0.5684209
MGI:98386,Sptan1,C57BL,E9.5,IMPC_GRS_008_001,Forelimb grip strength measurement mean,0.9120494
MGI:95777,Gnas,129SV,Early adult,IMPC_HEM_027_001,Red blood cell distribution width,0.1283134
MGI:107341,Ctss,C57BL,Early adult,CCP_XRY_020_001,Processes on vertebrae,0.7730073
MGI:1914210,Mindy3,C57BL,Early adult,CCP_LDT_003_001,Time mobile light side,0.202969
MGI:1916732,Nup35,C57BL,Early adult,IMPC_OFD_013_001,Periphery average speed,0.5899252
MGI:1919051,Plekhf2,C57BL,Early adult,IMPC_EYE_088_001,Left vitreous humour thickness,0.7552174
MGI:1913423,Ccdc107,C57BL,Early adult,IMPC_GEM_075_001,Delayed embryonic development,0.1017358
MGI:1922946,Prpf6,C57BL,Early adult,IMPC_OFD_012_001,Periphery permanence time,0.356036
MGI:88015,Ampd1,C57BL,E15.5,IMPC_HEM_003_001,Hemoglobin,0.1243791
MGI:1859866,Cdc20,C57BL,Early adult,IMPC_XRY_060_001,Transitional vertebrae,0.2382011
MGI:2140361,Slc35d1,C57BL,E18.5,UCDLA_EYE_083_001,Vitreous,0.8792187
MGI:1920199,Ccnt2,C57BL,Early adult,MGP_CSD_026_001,Ventral coat/hair colour,0.171183
MGI:106637,Slc30a2,C57BL,E9.5,IMPC_XRY_033_001,Tibia length,0.9847978
MGI:97565,Pgm1,C57BL,E9.5,ESLIM_011_001_005,PP4 startle magnitude,0.4542368
MGI:1916428,Snx5,C57BL,Early adult,ESLIM_008_001_002,Tremor,0.3720762
MGI:1914199,Trim59,C57BL,E18.5,JAX_HBD_001_001,Total holepokes,0.9211662
MGI:1919471,Cimip1,C57BL,Early adult,IMPC_OFD_013_001,Periphery average speed,0.5000785
MGI:3045320,Mgat4f,C57BL,Early adult,IMPC_IMM_032_002,Effector CD8+ T cells - % of live leukocytes (Panel A),0.5609391
MGI:107341,Ctss,C57BL,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.2284542
MGI:1309469,Casq2,C57BL,E12.5,IMPC_IMM_014_002,Treg cells - % of live leukocytes (Panel A),0.5064764
MGI:1346086,Aplnr,C57BL,Early adult,IMPC_CSD_023_001,Vibrissae - presence,0.2980649
MGI:88015,Ampd1,C57BL,Early adult,CCP_XRY_061_001,Fusion of processes,0.6683464
MGI:1096385,Bcan,C57BL,Late adult,IMPC_HEM_031_001,Lymphocyte differential count,0.7395155
MGI:2442792,Cdh7,C57BL,Early adult,ESLIM_021_001_005,HDL-cholesterol,0.7944066
MGI:1916428,Snx5,C57BL,Early adult,ESLIM_015_001_004,Sodium,0.7141345
MGI:3617846,Ankrd34a,C57BL,Early adult,CCP_XRY_019_001,Fusion of vertebrae,0.1035312
MGI:1919084,Zbtb43,C57BL,Early adult,MGP_CSD_068_001,Vibrissae,0.9680995
MGI:2444631,Bltp1,C57BL,E12.5,IMPC_GEO_017_002,Facial Cleft,0.4569733
MGI:2153070,Synpo2,C57BL,Early adult,IMPC_DXA_010_001,Bone Area,0.9299895
MGI:1920199,Ccnt2,C57BL,E12.5,MGP_IMM_004_001,Total CD4+ T cells - % of ab T cells,0.3799016
MGI:98960,Wnt6,C57BL,E12.5,MGP_MLN_012_001,Total CD8+ T cells - % of ab T cells,0.6603265
MGI:2139461,Tmem62,C57BL,Early adult,IMPC_OFD_022_001,Percentage center time,0.544266
MGI:1919300,Poglut2,C57BL,Early adult,IMPC_GRS_008_001,Forelimb grip strength measurement mean,0.1791136
MGI:97898,Ren1,C57BL,Early adult,M-G-P_026_001_003,Coat intact,0.9617187
MGI:1095412,Unc5c,C57BL,Early adult,IMPC_GEP_030_002,Edema,0.6017967
MGI:3590554,Firrm,C57BL,Early adult,MGP_IMM_019_001,CD5+ gd T cells - % of gd T cells,0.1596012
MGI:1919369,Tpx2,C57BL,E9.5,IMPC_CBC_023_001,Alpha-amylase,0.3518725
MGI:98397,Src,129SV,Early adult,IMPC_XRY_022_001,Radius,0.3940247
MGI:97803,Ptma,C57BL,E12.5,MGP_CSD_008_001,Startle response,0.4658631
MGI:101770,Bfsp1,C57BL,Early adult,IMPC_GPO_002_001,Placenta Morphology,0.7482478
MGI:1343489,Mpdz,C57BL,Early adult,MGP_IMM_005_001,CD4+ T helper cells - % of CD4+,0.2290564
MGI:107341,Ctss,C57BL,Early adult,JAX_OFD_010_001,Periphery distance travelled,0.191113
MGI:1351315,Eloa,C57BL,Early adult,JAX_OFD_009_001,Whole arena average speed,0.3544137
MGI:1923676,Fam209,C57BL,Early adult,IMPC_HWT_002_001,Tibia length,0.7820551
MGI:1347355,Slc7a11,C57BL,Early adult,IMPC_IMM_040_002,Effector CD4+ NKT cells - % of live leukocytes (Panel A),0.6202942
MGI:2443925,Thsd7b,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.4415124
MGI:2684789,Lrsam1,C57BL,Early adult,JAX_OFD_016_001,Center permanence time,0.2992131
MGI:88015,Ampd1,C57BL,Early adult,IMPC_EYE_008_001,Corneal opacity,0.2400157
MGI:1339968,Cth,C57BL,Early adult,MGP_IMM_093_001,Resting CD4- NKT cells - % of CD45+,0.6888772
MGI:98960,Wnt6,C57BL,E12.5,IMPC_XRY_006_001,Scapulae,0.9228384
MGI:1309469,Casq2,C57BL,E12.5,IMPC_GEM_025_002,Pallor,0.1065407
MGI:1924265,Mpped2,C57BL,Early adult,IMPC_GEP_030_002,Edema,0.4641273
MGI:1924232,Vxn,C57BL,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.132297
MGI:1915862,Ube2c,C57BL,Early adult,IMPC_XRY_022_001,Radius,0.1763052
MGI:1891259,Lrat,C57BL,Early adult,IMPC_HEM_005_001,Mean cell volume,0.1942452
MGI:2443564,Ambra1,C57BL,E12.5,IMPC_XRY_060_001,Transitional vertebrae,0.93592
MGI:1915599,Ndufs3,C57BL,Early adult,ESLIM_008_001_016,Trunk curl,0.5053524
MGI:1337072,Ier5,C57BL,Late adult,CCP_XRY_005_001,Teeth,0.9274098
MGI:1913882,Dph6,C57BL,Early adult,IMPC_CSD_029_001,Activity (body position),0.9137527
MGI:1913420,Chchd5,C57BL,Early adult,IMPC_OFD_022_001,Percentage center time,1.45246
MGI:109424,Abca4,C57BL,Early adult,M-G-P_025_001_001,Glucose,0.5481506
MGI:2444681,Hhat,C57BL,Early adult,JAX_OFD_022_001,Percentage center time,0.05447352
MGI:1309469,Casq2,C57BL,E12.5,IMPC_OFD_007_001,Whole arena resting time,0.5381204
MGI:3611233,Tox2,C57BL,Early adult,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.5236906
MGI:1916428,Snx5,129SV,Early adult,ESLIM_005_001_004,Bone Mineral Density (excluding skull),0.775622
MGI:1916732,Nup35,C57BL,Early adult,MGP_IMM_077_001,Effector Treg cells - % of CD45+,0.3527985
MGI:1913491,Tmem9,C57BL,Early adult,IMPC_XRY_021_001,Humerus,0.7023583
MGI:2387617,Obp2a,C57BL,Early adult,IMPC_GEL_011_001,Embryo turning,0.5120156
MGI:1343489,Mpdz,C57BL,Early adult,ESLIM_016_001_005,Mean cell volume,0.8171846
MGI:1916987,Ttl,C57BL,E12.5,IMPC_CSD_038_001,Trunk curl,0.9461346
MGI:98960,Wnt6,C57BL,E15.5,IMPC_DXA_003_001,Lean mass,0.5360749
MGI:1891259,Lrat,C57BL,Early adult,JAX_OFD_009_001,Whole arena average speed,0.3102131
MGI:1920199,Ccnt2,C57BL,E12.5,IMPC_HWT_002_001,Tibia length,0.8310057
MGI:3611233,Tox2,C57BL,Early adult,IMPC_FEA_003_001,Conditioning Baseline % Freezing Time,0.2197486
MGI:97383,Ntrk1,C57BL,Early adult,ESLIM_008_001_007,Transfer arousal,0.8759582
MGI:1923073,Fam227b,C57BL,Early adult,CCP_XRY_002_001,Zygomatic bone,0.8249332
MGI:104899,Mob4,C57BL,E9.5,IMPC_GEM_069_001,Hindbrain morphology,0.1460221
MGI:1927241,Wdr12,C57BL,E12.5,ESLIM_020_001_002,Heart weight,0.8200514
MGI:1918066,Rpusd2,C57BL,Early adult,IMPC_GEO_017_002,Facial Cleft,0.8934641
MGI:99218,Cdh4,C57BL,Early adult,IMPC_OFD_009_001,Whole arena average speed,0.6050016
MGI:1915643,Mogat1,C57BL,Late adult,IMPC_DXA_005_001,Bone Mineral Content (excluding skull),0.8585063
MGI:2685195,Zbtb34,C57BL,Early adult,IMPC_CBC_020_001,Fructosamine,0.3414773
MGI:1915643,Mogat1,C57BL,Late adult,CCP_LDT_007_001,Percent time in dark,0.8872302
MGI:1891259,Lrat,C57BL,Early adult,IMPC_GEO_017_002,Facial Cleft,0.8542065
MGI:102519,Cst3,C57BL,E12.5,MGP_MLN_079_001,CD5+ gd T cells - % of CD45+,0.447663
MGI:98960,WNT6,C57BL,E12.5,MGP_CSD_008_001,Startle response,0.4502938
MGI:1917120,Polr3gl,C57BL,E18.5,IMPC_DXA_006_001,Body length,0.7519874
MGI:104708,Cct3,C57BL,E9.5,MGP_IMM_077_001,Effector Treg cells - % of CD45+,0.3148828
MGI:2444824,Sirpb1a,C57BL,Early adult,IMPC_CSD_079_001,Aggression,0.627786
MGI:1927580,Bloc1s6,C57BL,Early adult,IMPC_XRY_022_001,Radius,0.5313699
MGI:2679420,Pak6,C57BL,Early adult,IMPC_GEM_068_001,Forebrain morphology,0.606177
MGI:3588202,Garin4,C57BL,Early adult,IMPC_GEO_064_001,Edema,0.2265123
MGI:1915599,Ndufs3,C57BL,Early adult,IMPC_EYE_082_001,Iris transilumination,0.6709086
MGI:95777,Gnas,129SV,Early adult,JAX_LDT_009_001,Percent time in light,0.188334
MGI:2139461,Tmem62,C57BL,Early adult,IMPC_HEM_032_001,Lymphocyte cell count,0.8000219
MGI:3617846,Ankrd34a,C57BL,Early adult,ESLIM_008_001_007,Transfer arousal,0.9138568
MGI:107171,Ppp3r2,C57BL,Early adult,UCDLA_HEM_002_001,Red blood cell count,0.1725158
MGI:1095412,Unc5c,C57BL,Late adult,IMPC_ECH_012_001,LVPWs,0.8054769
MGI:2151053,Serpinb7,C57BL,Early adult,MGP_MLN_076_001,Naive CD8+ T cells - % of CD45+,0.6099115
MGI:2158201,Acot8,C57BL,Early adult,IMPC_GEO_015_001,Head shape,0.05454005
MGI:1918316,Hsfy2,C57BL,Early adult,IMPC_CBC_025_001,LDL-cholesterol,0.9953036
MGI:1343489,Mpdz,C57BL,Early adult,IMPC_OFD_009_001,Whole arena average speed,0.7209207
MGI:1931071,Sec61a2,C57BL,Early adult,ESLIM_008_001_007,Transfer arousal,0.5677272
MGI:104899,Mob4,C57BL,Early adult,UCD_OWT_003_001,Spleen weight,0.9324211
MGI:1353665,Usp21,C57BL,Early adult,IMPC_ECH_013_001,HR,0.7464515
MGI:98397,Src,C57BL,Early adult,ESLIM_008_001_022,Vocalisation,0.2491656
MGI:1914199,Trim59,C57BL,E18.5,IMPC_OFD_011_001,Periphery resting time,0.5689619
MGI:1913790,Fam107b,C57BL,Early adult,IMPC_ACS_006_001,Response amplitude - S,0.4320234
MGI:1095412,Unc5c,C57BL,Late adult,IMPC_DXA_003_001,Lean mass,0.09328701
MGI:1096385,Bcan,C57BL,Late adult,IMPC_ECH_013_001,HR,0.9483151
MGI:104899,Mob4,C57BL,Early adult,M-G-P_012_001_005,Body Weight,0.1137561
MGI:101813,Coq3,C57BL,Early adult,IMPC_CBC_003_001,Chloride,0.4837709
MGI:101813,Coq3,C57BL,E9.5,IMPC_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,0.9177084
MGI:1922946,Prpf6,C57BL,Early adult,IMPC_CBC_058_001,Cholesterol ratio,0.05806424
MGI:1914199,Trim59,C57BL,Early adult,IMPC_EYE_070_001,Left outer nuclear layer,0.2694335
MGI:102844,Mybpc3,C57BL,Early adult,IMPC_EYE_016_001,Lens,0.4962399
MGI:1922776,Eppin,C57BL,Middle aged adult,IMPC_EYE_016_001,Lens,0.8415497
MGI:1919880,Hspa12b,C57BL,Early adult,IMPC_CBC_004_001,Urea (Blood Urea Nitrogen - BUN),0.5902072
MGI:1927753,Inpp5e,C57BL,Early adult,IMPC_CSD_078_001,Vocalization,0.2032958
MGI:97324,Nhlh2,C57BL,Early adult,CCP_XRY_019_001,Fusion of vertebrae,0.07016369
MGI:2140361,Slc35d1,C53BL,Early adult,CCP_LDT_004_001,Dark side time spent,0.1571635
MGI:1347355,Slc7a11,C57BL,Early adult,MGP_IMM_116_001,Plasma cells - % of CD45+,0.1798851
MGI:2139018,Olah,C57BL,Early adult,KMPCLA_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,0.3106878
MGI:1922946,Prpf6,C57BL,Early adult,MGP_CSD_068_001,Vibrissae,1.250128
MGI:1919128,Fam83d,C57BL,Early adult,IMPC_HEM_008_001,Platelet count,0.07118272
MGI:2684789,Lrsam1,C57BL,Early adult,IMPC_OFD_010_001,Periphery distance travelled,0.2095382
MGI:2384297,Map7d1,C57BL,E9.5,MGP_MLN_066_001,Effector CD4+ T helper cells - % of CD45+,0.1140389
MGI:2443564,Ambra1,C57BL,E12.5,MGP_IMM_116_001,Plasma cells - % of CD45+,0.5002271
MGI:3588202,Garin4,C57BL,Early adult,CCP_LFO_001_001,Weight,0.8058138
MGI:104559,Rcn1,C57BL,Early adult,IMPC_IMM_014_002,Treg cells - % of live leukocytes (Panel A),0.7643221
MGI:97898,Ren1,C57BL,Early adult,IMPC_XRY_055_001,Shape of spine,0.243233
MGI:2444508,Fitm2,C57BL,Early adult,MGP_IMM_130_001,CD11b-low cDC - % of CD45+,0.7403462
MGI:3611233,Tox2,C57BL,Early adult,JAX_LDT_003_001,Time mobile light side,0.3938269
MGI:1922423,Tex38,C57BL,Early adult,ESLIM_016_001_004,Haematocrit,0.4507893
MGI:1919369,Tpx2,C57BL,E9.5,JAX_LDT_002_001,Light side time spent,0.5082716
MGI:3646006,Gm5148,C57BL,Early adult,ESLIM_011_001_005,PP4 startle magnitude,0.7920815
MGI:97565,Pgm1,C57BL,E12.5,IMPC_ECG_006_001,PR,0.4178027
MGI:99218,Cdh4,C57BL,Early adult,MGP_MLN_066_001,Effector CD4+ T helper cells - % of CD45+,0.2215215
MGI:87879,Aco1,C57BL,Early adult,CCP_LDT_003_001,Time mobile light side,0.3237072
MGI:2443564,Ambra1,C57BL,E18.5,IMPC_ECG_003_001,CV,0.2917001
MGI:1353665,Usp21,C57BL,Early adult,MGP_IMM_007_001,Resting CD4+ T helper cells - % of CD4+ T helper cells,0.6047669
